Number,Name,Types,Species,Legendary,Mythical,Generation,Sprite,Description
001,Bulbasaur,Grass|Poison,Seed,False,False,1,https://pokeres.bastionbot.org/images/pokemon/1.png,"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow."
002,Ivysaur,Grass|Poison,Seed,False,False,1,https://pokeres.bastionbot.org/images/pokemon/2.png,The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.
003,Venusaur,Grass|Poison,Seed,False,False,1,https://pokeres.bastionbot.org/images/pokemon/3.png,"As it warms itself and absorbs the sunlight, its flower petals release a pleasant fragrance."
004,Charmander,Fire,Lizard,False,False,1,https://pokeres.bastionbot.org/images/pokemon/4.png,"If it's healthy, the flame on the tip of its tail will burn vigorously, even if it gets a bit wet."
005,Charmeleon,Fire,Flame,False,False,1,https://pokeres.bastionbot.org/images/pokemon/5.png,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
006,Charizard,Fire|Flying,Flame,False,False,1,https://pokeres.bastionbot.org/images/pokemon/6.png,It uses its wings to fly high. The temperature of its fire increases as it gains experience in battle.
007,Squirtle,Water,Tiny Turtle,False,False,1,https://pokeres.bastionbot.org/images/pokemon/7.png,"When it feels threatened, it draws its legs inside its shell and sprays water from its mouth."
008,Wartortle,Water,Turtle,False,False,1,https://pokeres.bastionbot.org/images/pokemon/8.png,"Its long, furry tail is a symbol of longevity, making it quite popular among older people."
009,Blastoise,Water,Shellfish,False,False,1,https://pokeres.bastionbot.org/images/pokemon/9.png,It firmly plants its feet on the ground before shooting water from the jets on its back.
010,Caterpie,Bug,Worm,False,False,1,https://pokeres.bastionbot.org/images/pokemon/10.png,It crawls into foliage where it camouflages itself among leaves that are the same color as its body.
011,Metapod,Bug,Cocoon,False,False,1,https://pokeres.bastionbot.org/images/pokemon/11.png,"This is its pre-evolved form. At this stage, it can only harden, so it remains motionless to avoid attack."
012,Butterfree,Flying|Bug,Butterfly,False,False,1,https://pokeres.bastionbot.org/images/pokemon/12.png,"It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom."
013,Weedle,Bug|Poison,Hairy Bug,False,False,1,https://pokeres.bastionbot.org/images/pokemon/13.png,The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.
014,Kakuna,Bug|Poison,Cocoon,False,False,1,https://pokeres.bastionbot.org/images/pokemon/14.png,"Nearly incapable of movement, it leans against stout trees while waiting for its evolution."
015,Beedrill,Bug|Poison,Poison Bee,False,False,1,https://pokeres.bastionbot.org/images/pokemon/15.png,"It uses sharp, poisonous stings to defeat prey, then takes the victim back to its nest for food."
016,Pidgey,Flying|Normal,Tiny Bird,False,False,1,https://pokeres.bastionbot.org/images/pokemon/16.png,"It rapidly flaps its wings in the grass, stirring up a dust cloud that drives insect prey out into the open."
017,Pidgeotto,Flying|Normal,Bird,False,False,1,https://pokeres.bastionbot.org/images/pokemon/17.png,"It slowly flies in a circular pattern, all the while keeping a sharp lookout for prey."
018,Pidgeot,Flying|Normal,Bird,False,False,1,https://pokeres.bastionbot.org/images/pokemon/18.png,"Its outstanding vision allows it to spot splashing MAGIKARP, even while flying at 3300 feet."
019,Rattata,Normal,Mouse,False,False,1,https://pokeres.bastionbot.org/images/pokemon/19.png,This Pokémon's impressive vitality allows it to live anywhere. It also multiplies very quickly.
019,RattataAlolan Rattata,Dark|Normal,Mouse,False,False,1,https://pokeres.bastionbot.org/images/pokemon/19.png,This Pokémon's impressive vitality allows it to live anywhere. It also multiplies very quickly.
020,Raticate,Normal,Mouse,False,False,1,https://pokeres.bastionbot.org/images/pokemon/20.png,The webs on its hind legs enable it to cross rivers. It searches wide areas for food.
020,RaticateAlolan Raticate,Dark|Normal,Mouse,False,False,1,https://pokeres.bastionbot.org/images/pokemon/20.png,The webs on its hind legs enable it to cross rivers. It searches wide areas for food.
021,Spearow,Flying|Normal,Tiny Bird,False,False,1,https://pokeres.bastionbot.org/images/pokemon/21.png,"To protect its territory, it flies around ceaselessly, making high-pitched cries."
022,Fearow,Flying|Normal,Beak,False,False,1,https://pokeres.bastionbot.org/images/pokemon/22.png,"It uses its long beak to attack. It has a surprisingly long reach, so it must be treated with caution."
023,Ekans,Poison,Snake,False,False,1,https://pokeres.bastionbot.org/images/pokemon/23.png,"It flutters the tip of its tongue to seek out the scent of prey, then swallows the prey whole."
024,Arbok,Poison,Cobra,False,False,1,https://pokeres.bastionbot.org/images/pokemon/24.png,"To intimidate foes, it spreads its chest wide and makes eerie sounds by expelling air from its mouth."
